Date,Open,High,Low,Close,Volume
19-05-2014,24340.32031,24745.85938,24107.99023,24693.34961,96200
26-05-2014,24913.89063,25175.2207,24163.61914,24217.33984,80500
02-06-2014,24368.96094,25419.14063,24270.19922,25396.46094,85900
09-06-2014,25543.59961,25735.86914,25171.60938,25228.16992,67800
16-06-2014,25239.5,25609.2793,25056.17969,25105.50977,60500
23-06-2014,25108.08984,25427.80078,24878.66016,25099.91992,48000
30-06-2014,25179.55078,25999.08008,25179.55078,25962.06055,45600
07-07-2014,26039.66992,26190.43945,24978.33008,25024.34961,67600
14-07-2014,25093.16016,25713.40039,24892,25641.56055,59300
21-07-2014,25776.53906,26300.16992,25677.71094,26126.75,43200
28-07-2014,26173.4707,26181.83008,25459.13086,25480.83984,38500
04-08-2014,25631.67969,25928.32031,25232.82031,25329.14063,37600
11-08-2014,25476.86914,26135,25437.05078,26103.23047,33000
18-08-2014,26123.68945,26530.66992,26075.2793,26419.55078,40700
25-08-2014,26490.31055,26674.38086,26314.89063,26638.10938,32800
01-09-2014,26733.17969,27225.84961,26732.39063,27026.69922,41400
08-09-2014,27145.11914,27354.99023,26904.5,27061.03906,36400
15-09-2014,26998.07031,27247.16992,26464.0293,27090.41992,37300
22-09-2014,27008.11914,27256.86914,26220.49023,26626.32031,48300
29-09-2014,26694.41016,26851.33008,26481.31055,26567.99023,22600
06-10-2014,26487.50977,26688.69922,26150.08984,26297.38086,35500
13-10-2014,26275.07031,26550.78906,25910.76953,26108.5293,38400
20-10-2014,26434.16016,26930.23047,26368.93945,26851.05078,25400
27-10-2014,26959.57031,27894.32031,26726.83984,27865.83008,40000
03-11-2014,27943.03906,28010.39063,27739.56055,27868.63086,28700
10-11-2014,27919.44922,28126.48047,27764.75,28046.66016,40500
17-11-2014,28018.67969,28360.66016,27915.23047,28334.63086,39600
24-11-2014,28413.00977,28822.36914,28217.5,28693.99023,55700
01-12-2014,28748.2207,28809.64063,28370.73047,28458.09961,47700
08-12-2014,28433,28494.84961,27320.05078,27350.67969,49700
15-12-2014,27136.2793,27497.11914,26469.41992,27371.83984,63000
22-12-2014,27479.86914,27851.09961,27146.51953,27208.60938,26600
29-12-2014,27478.30078,27937.4707,27312.28906,27887.90039,20000
05-01-2015,27978.42969,28064.49023,26776.11914,27458.38086,54800
12-01-2015,27523.85938,28194.60938,27203.25,28121.89063,54300
19-01-2015,28249.83984,29408.73047,28197.35938,29278.83984,60400
26-01-2015,29189.44922,29844.16016,29070.48047,29182.94922,51000
02-02-2015,29143.63086,29277.83008,28647.14063,28717.91016,74600
09-02-2015,28566.5,29154.66992,28044.49023,29094.92969,71500
16-02-2015,29170.76953,29522.85938,29083.40039,29231.41016,44900
23-02-2015,29316.58008,29362.96094,28693.82031,29220.11914,54200
02-03-2015,29533.41992,30024.74023,29162.4707,29448.94922,57900
09-03-2015,29316.53906,29321.06055,28448.48047,28503.30078,58100
16-03-2015,28546.31055,28978.74023,28209.66016,28261.08008,57100
23-03-2015,28317.28906,28455.32031,27248.44922,27458.64063,61200
30-03-2015,27655.78906,28298.33984,27624.75977,28260.14063,30300
06-04-2015,28351.93945,28907.81055,28221.99023,28879.38086,51100
13-04-2015,28955.13086,29094.60938,28403.75977,28442.09961,41300
20-04-2015,28525.65039,28539.46094,27344.69922,27437.93945,74800
27-04-2015,27565.49023,27567.2793,26897.53906,27011.31055,42800
04-05-2015,27204.63086,27603.71094,26423.99023,27105.39063,55100
11-05-2015,27249.41992,27544.24023,26750.00977,27324,55500
18-05-2015,27416.9707,28071.16016,27370.2793,27957.5,61000
25-05-2015,27893.25,27903.28906,27354.34961,27828.43945,45500
01-06-2015,27770.78906,27959.42969,26551.9707,26768.49023,61600
08-06-2015,26814.31055,27000.14063,26307.07031,26425.30078,48200
15-06-2015,26498.66992,27404.59961,26307.83984,27316.16992,65700
22-06-2015,27427.18945,27968.75,27417.0293,27811.83984,45800
29-06-2015,27451.07031,28135.42969,27209.18945,28092.78906,51600
06-07-2015,27857.19922,28335.23047,27530.90039,27661.40039,49000
13-07-2015,27739.32031,28576.32031,27635.06055,28463.31055,36500
20-07-2015,28544.2793,28578.33008,28070.91016,28112.31055,46000
27-07-2015,28117.65039,28161.16992,27416.39063,28114.56055,54300
03-08-2015,28089.08984,28359.96094,27866.11914,28236.39063,51400
10-08-2015,28250.7793,28417.58984,27479.42969,28067.31055,70700
17-08-2015,28093.53906,28095.9707,27131.43945,27366.07031,63400
24-08-2015,26730.40039,26730.40039,25298.41992,26392.38086,91300
31-08-2015,26469.41992,26504.73047,25119.06055,25201.90039,65600
07-09-2015,25302.98047,25875.96094,24833.53906,25610.21094,66200
14-09-2015,25706.86914,26471.82031,25531.07031,26218.91016,86200
21-09-2015,26107.98047,26339.09961,25386.48047,25863.5,45200
28-09-2015,25922.71094,26431.80078,25287.33008,26220.94922,70900
05-10-2015,26379.41992,27200.43945,26375.31055,27079.50977,75800
12-10-2015,27242.59961,27305.03906,26713.2793,27214.59961,63000
19-10-2015,27305.61914,27555.06055,27190.55078,27470.81055,37000
26-10-2015,27575.03906,27618.14063,26585.19922,26656.83008,55800
02-11-2015,26641.68945,26824.30078,26190.17969,26265.24023,53200
09-11-2015,25809,26193.16992,25540.73047,25610.5293,40800
16-11-2015,25580.15039,26058.75977,25451.41992,25868.49023,58000
23-11-2015,25945.14063,26184.65039,25703.85938,26128.19922,36400
30-11-2015,26142.5293,26256.41992,25623.71094,25638.10938,49400
07-12-2015,25746.0293,25785.5293,24930.42969,25044.42969,58700
14-12-2015,24935.59961,25831.31055,24867.73047,25519.2207,65200
21-12-2015,25425.32031,25922.4707,25413.53906,25838.71094,28000
28-12-2015,25858.51953,26147.63086,25856.85938,26117.53906,25600
04-01-2016,26116.51953,26116.51953,24825.69922,24934.33008,60500
11-01-2016,24787.10938,25018.46094,24387.68945,24455.03906,62500
18-01-2016,24400.7793,24563.33984,23839.75977,24435.66016,59100
25-01-2016,24540.9707,24911.90039,24340.06055,24870.68945,38200
01-02-2016,24982.2207,25002.32031,24187.53906,24616.9707,60600
08-02-2016,24637.41016,24698.94922,22600.39063,22986.11914,90900
15-02-2016,23223.42969,23774.48047,22920.83984,23709.15039,86500
22-02-2016,23783.4707,23855.03906,22948.09961,23154.30078,67600
29-02-2016,23238.5,24719.05078,22494.60938,24646.48047,134400
07-03-2016,24655.18945,24820.75977,24451.59961,24717.99023,67100
14-03-2016,24801.69922,24986.93945,24354.55078,24952.74023,81900
21-03-2016,25007.56055,25381.33008,24988.26953,25337.56055,33900
28-03-2016,25417.10938,25479.61914,24835.56055,25269.64063,54700
04-04-2016,25333.98047,25424.15039,24608.50977,24673.83984,61800
11-04-2016,24789.40039,25671.5,24523.19922,25626.75,52000
18-04-2016,25833.16016,26080.07031,25634.11914,25838.14063,51300
25-04-2016,25891.0293,26100.53906,25424.0293,25606.61914,59800
02-05-2016,25565.43945,25705.96094,25057.92969,25228.5,57100
09-05-2016,25321.83008,25827.0293,25302.85938,25489.57031,53800
16-05-2016,25528.80078,25927.31055,25251.90039,25301.90039,62100
23-05-2016,25447.7207,26677.42969,25181.4707,26653.59961,66200
30-05-2016,26694.75,27008.14063,26561.58008,26843.0293,78800
06-06-2016,26897.83984,27105.41016,26620.5,26635.75,56200
13-06-2016,26468.26953,26752.58984,26262.26953,26625.91016,51100
20-06-2016,26497.10938,27060.98047,25911.33008,26397.71094,57900
27-06-2016,26347.81055,27243.35938,26262.7207,27144.91016,52700
04-07-2016,27314.43945,27385.66016,27034.14063,27126.90039,41400
11-07-2016,27358.23047,28048.69922,27358.23047,27836.5,80500
18-07-2016,27920.66016,28013.5,27637.98047,27803.24023,71500
25-07-2016,27753.96094,28240.19922,27736.50977,28051.85938,62900
01-08-2016,28083.08008,28284.84961,27627.9707,28078.34961,63900
08-08-2016,28181.91992,28289.96094,27697.33008,28152.40039,80800
15-08-2016,28190.03906,28214.16992,27942.65039,28077,54300
22-08-2016,28088.07031,28154.21094,27696.99023,27782.25,48900
29-08-2016,27827.25977,28581.58008,27698.71094,28532.10938,61600
05-09-2016,28631.26953,29077.2793,28631.26953,28797.25,64700
12-09-2016,28481.08984,28778.64063,28251.31055,28599.0293,48200
19-09-2016,28626.59961,28871.91992,28462.33008,28668.2207,56900
26-09-2016,28630.91992,28630.91992,27716.7793,27865.96094,60300
03-10-2016,27997.28906,28477.65039,27919.89063,28061.14063,62300
10-10-2016,28144.2793,28216.64063,27548.17969,27673.59961,32800
17-10-2016,27776.14063,28212.5,27488.30078,28077.17969,68300
24-10-2016,28156.58984,28256.65039,27665.59961,27941.50977,65100
31-10-2016,27966.17969,28029.80078,27193.60938,27274.15039,58200
07-11-2016,27552.26953,27743.46094,25902.44922,26818.82031,76300
14-11-2016,26809.60938,26809.60938,26106.7793,26150.24023,51200
21-11-2016,26246.69922,26343.94922,25717.92969,26316.33984,47000
28-11-2016,26303.51953,26769.32031,26182.92969,26230.66016,49200
05-12-2016,26253.48047,26803.75977,26125.34961,26747.17969,48900
12-12-2016,26725.31055,26737.85938,26407.58008,26489.56055,45700
19-12-2016,26505.66016,26505.66016,25872.38086,26040.69922,35900
26-12-2016,25992.41016,26678.59961,25753.74023,26626.46094,37900
02-01-2017,26711.15039,27009.60938,26447.06055,26759.23047,43500
09-01-2017,26860.81055,27459.75,26701.17969,27238.06055,48900
16-01-2017,27238.34961,27422.66992,27009.81055,27034.5,49800
23-01-2017,26990.92969,27980.39063,26963.58008,27882.46094,39900
30-01-2017,27866.80078,28299.91992,27590.09961,28240.51953,65500
06-02-2017,28340.39063,28487.2793,28149.08008,28334.25,55600
13-02-2017,28450.41992,28726.25977,28102.23047,28468.75,63600
20-02-2017,28481.91016,29065.31055,28419.26953,28892.9707,52000
27-02-2017,28910.5,29145.61914,28716.21094,28832.44922,57400
06-03-2017,28859.21094,29098.16992,28815.01953,28946.23047,455500
13-03-2017,29437.23047,29824.61914,29356.05078,29648.99023,454600
20-03-2017,29653.53906,29699.48047,29137.48047,29421.40039,474000
27-03-2017,29395.67969,29687.64063,29163.53906,29620.5,117700
